"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.43.3","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"2","1.000506","192.168.43.3","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"3","2.437615","69.171.250.60","192.168.43.3","TLSv1.2","161","Application Data"
"4","2.635170","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=1 Ack=108 Win=16554 Len=0"
"5","6.962979","69.171.250.60","192.168.43.3","TLSv1.2","295","Application Data"
"6","7.170236","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=1 Ack=349 Win=16493 Len=0"
"7","11.895299","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","Who has 192.168.43.92? Tell 192.168.43.3"
"8","11.898376","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","192.168.43.92 is at 1a:02:ae:9a:0d:ef"
"9","12.189396","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","Who has 192.168.43.3? Tell 192.168.43.92"
"10","12.189444","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","192.168.43.3 is at c4:8e:8f:48:58:9d"
"11","22.149284","192.168.43.3","192.168.43.92","DNS","71","Standard query 0xc312 A i.ytimg.com"
"12","22.400872","192.168.43.92","192.168.43.3","DNS","87","Standard query response 0xc312 A i.ytimg.com A 172.217.26.86"
"13","22.420936","192.168.43.3","172.217.26.86","UDP","1392","60011  >  443 Len=1350"
"14","22.756807","172.217.26.86","192.168.43.3","UDP","1392","443  >  60011 Len=1350"
"15","22.758721","192.168.43.3","172.217.26.86","UDP","75","60011  >  443 Len=33"
"16","24.408968","192.168.43.3","192.168.43.92","DNS","76","Standard query 0x044b A web.whatsapp.com"
"17","24.495632","192.168.43.3","69.171.250.60","TLSv1.2","812","Application Data"
"18","24.616202","192.168.43.92","192.168.43.3","DNS","129","Standard query response 0x044b A web.whatsapp.com CNAME mmx-ds.cdn.whatsapp.net A 69.171.250.60"
"19","24.617839","192.168.43.3","69.171.250.60","TCP","66","49541  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"20","24.658486","192.168.43.3","69.171.250.60","TCP","66","49542  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"21","24.686456","69.171.250.60","192.168.43.3","TCP","54","443  >  49528 [ACK] Seq=349 Ack=759 Win=425 Len=0"
"22","24.727364","69.171.250.60","192.168.43.3","TCP","66","443  >  49541 [SYN, ACK] Seq=0 Ack=1 Win=27840 Len=0 MSS=1392 SACK_PERM=1 WS=256"
"23","24.727450","192.168.43.3","69.171.250.60","TCP","54","49541  >  443 [ACK] Seq=1 Ack=1 Win=66816 Len=0"
"24","24.748482","192.168.43.3","69.171.250.60","TLSv1.3","571","Client Hello"
"25","24.785717","69.171.250.60","192.168.43.3","TCP","66","443  >  49542 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM=1 WS=256"
"26","24.785805","192.168.43.3","69.171.250.60","TCP","54","49542  >  443 [ACK] Seq=1 Ack=1 Win=66816 Len=0"
"27","24.786858","192.168.43.3","69.171.250.60","TLSv1.3","571","Client Hello"
"28","24.962806","69.171.250.60","192.168.43.3","TLSv1.2","87","Application Data"
"29","25.008584","69.171.250.60","192.168.43.3","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"30","25.014363","69.171.250.60","192.168.43.3","TCP","54","443  >  49542 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"31","25.058924","69.171.250.60","192.168.43.3","TLSv1.3","1446","Server Hello, Change Cipher Spec, Application Data"
"32","25.066075","192.168.43.3","69.171.250.60","TLSv1.3","118","Change Cipher Spec, Application Data"
"33","25.086953","192.168.43.3","69.171.250.60","TLSv1.3","146","Application Data"
"34","25.098268","192.168.43.3","69.171.250.60","TLSv1.3","336","Application Data"
"35","25.168453","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=759 Ack=382 Win=16485 Len=0"
"36","25.258388","192.168.43.3","69.171.250.60","TCP","54","49542  >  443 [ACK] Seq=518 Ack=1393 Win=66816 Len=0"
"37","25.283163","69.171.250.60","192.168.43.3","TLSv1.3","266","[TCP Spurious Retransmission] , Server Hello, Change Cipher Spec, Application Data"
"38","25.283213","192.168.43.3","69.171.250.60","TCP","66","[TCP Dup ACK 32#1] 49541  >  443 [ACK] Seq=956 Ack=213 Win=66604 Len=0 SLE=1 SRE=213"
"39","25.299474","69.171.250.60","192.168.43.3","TLSv1.3","211","Application Data"
"40","25.305215","69.171.250.60","192.168.43.3","TLSv1.3","128","Application Data"
"41","25.305266","192.168.43.3","69.171.250.60","TCP","54","49541  >  443 [ACK] Seq=956 Ack=444 Win=66372 Len=0"
"42","25.306180","192.168.43.3","69.171.250.60","TLSv1.3","85","Application Data"
"43","25.353569","69.171.250.60","192.168.43.3","TLSv1.3","923","Application Data"
"44","25.354284","69.171.250.60","192.168.43.3","TLSv1.3","85","Application Data"
"45","25.354390","69.171.250.60","192.168.43.3","TLSv1.3","89","Application Data"
"46","25.354439","192.168.43.3","69.171.250.60","TCP","54","49541  >  443 [ACK] Seq=987 Ack=510 Win=66304 Len=0"
"47","25.358825","192.168.43.3","69.171.250.60","TLSv1.3","118","Change Cipher Spec, Application Data"
"48","25.496719","192.168.43.3","69.171.250.60","TLSv1.2","140","Application Data"
"49","25.592345","69.171.250.60","192.168.43.3","TCP","54","443  >  49542 [ACK] Seq=2262 Ack=582 Win=66816 Len=0"
"50","25.592446","69.171.250.60","192.168.43.3","TLSv1.3","128","[TCP Previous segment not captured] , Application Data"
"51","25.592487","192.168.43.3","69.171.250.60","TCP","66","[TCP Dup ACK 47#1] 49542  >  443 [ACK] Seq=582 Ack=2262 Win=65944 Len=0 SLE=2433 SRE=2507"
"52","25.607589","69.171.250.60","192.168.43.3","TCP","225","[TCP Out-Of-Order] 443  >  49542 [PSH, ACK] Seq=2262 Ack=582 Win=66816 Len=171"
"53","25.607662","192.168.43.3","69.171.250.60","TCP","54","49542  >  443 [ACK] Seq=582 Ack=2507 Win=65700 Len=0"
"54","25.726223","69.171.250.60","192.168.43.3","TCP","54","[TCP Previous segment not captured] 443  >  49528 [ACK] Seq=417 Ack=845 Win=425 Len=0"
"55","25.848300","192.168.43.3","69.171.250.60","TCP","85","[TCP Retransmission] 49541  >  443 [PSH, ACK] Seq=956 Ack=510 Win=66304 Len=31"
"56","25.877456","69.171.250.60","192.168.43.3","TLSv1.2","87","Application Data"
"57","25.877514","192.168.43.3","69.171.250.60","TCP","66","[TCP Dup ACK 35#1] 49528  >  443 [ACK] Seq=845 Ack=382 Win=16485 Len=0 SLE=417 SRE=450"
"58","26.078131","69.171.250.60","192.168.43.3","TCP","54","[TCP Previous segment not captured] 443  >  49541 [ACK] Seq=1819 Ack=987 Win=30208 Len=0"
"59","26.081990","69.171.250.60","192.168.43.3","TCP","89","[TCP Retransmission] 443  >  49528 [PSH, ACK] Seq=382 Ack=845 Win=425 Len=35"
"60","26.082057","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=845 Ack=450 Win=16468 Len=0"
"61","26.300726","192.168.43.3","69.171.250.60","TLSv1.2","173","Application Data"
"62","26.320233","69.171.250.60","192.168.43.3","TLSv1.2","258","Application Data"
"63","26.474488","69.171.250.60","192.168.43.3","TCP","54","443  >  49528 [ACK] Seq=654 Ack=964 Win=425 Len=0"
"64","26.518028","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=964 Ack=654 Win=16417 Len=0"
"65","26.741755","69.171.250.60","192.168.43.3","TLSv1.2","87","Application Data"
"66","26.793570","69.171.250.60","192.168.43.3","TCP","1363","[TCP Retransmission] 443  >  49541 [PSH, ACK] Seq=510 Ack=987 Win=30208 Len=1309"
"67","26.947980","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=964 Ack=687 Win=16409 Len=0"
"68","26.998248","192.168.43.3","69.171.250.60","TCP","54","49541  >  443 [ACK] Seq=987 Ack=1819 Win=66816 Len=0"
"69","27.961090","69.171.250.60","192.168.43.3","TLSv1.2","220","[TCP Previous segment not captured] , Application Data, Application Data"
"70","27.961158","192.168.43.3","69.171.250.60","TCP","66","[TCP Dup ACK 67#1] 49528  >  443 [ACK] Seq=964 Ack=687 Win=16409 Len=0 SLE=893 SRE=1059"
"71","28.063110","69.171.250.60","192.168.43.3","TCP","260","[TCP Retransmission] 443  >  49528 [PSH, ACK] Seq=687 Ack=964 Win=425 Len=206"
"72","28.063224","192.168.43.3","69.171.250.60","TCP","54","49528  >  443 [ACK] Seq=964 Ack=1059 Win=16704 Len=0"
"73","29.850033","1a:02:ae:9a:0d:ef","HonHaiPr_48:58:9d","ARP","42","Who has 192.168.43.3? Tell 192.168.43.92"
"74","29.850096","HonHaiPr_48:58:9d","1a:02:ae:9a:0d:ef","ARP","42","192.168.43.3 is at c4:8e:8f:48:58:9d"
